sites,transfer,base_delta,sensitivity_delta,base_pee,sensitivity_pee,base_price_emissions,sensitivity_price_emissions,year,base_z_share_pct,sensitivity_z_share_pct,diff_z_share_pp,base_capture_gt,sensitivity_capture_gt,diff_capture_gt,base_net_transfer,sensitivity_net_transfer,diff_net_transfer
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,24,0.9266766614854323,0.6543999604322129,-0.2722767010532193,14.546319563281429,14.89245787064013,0.3461383073587001,6.675889703652671,6.67295185078866,-0.002937852864010715
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,25,0.9266766614812827,0.6543999576416253,-0.2722767038396574,14.999030375867704,15.342724658246823,0.3436942823791185,6.370259559185273,6.3689716939276515,-0.0012878652576215899
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,26,0.9266766614776896,0.6543999551589882,-0.2722767063187014,15.431365845489466,15.772726102042299,0.3413602565528322,6.078385037160067,6.078672897439946,0.0002878602798794816
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,27,0.9266766614745615,0.6543999529128057,-0.2722767085617558,15.844243013642824,16.183374292720032,0.33913127907720764,5.799647032583065,5.801439698740613,0.0017926661575478064
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,28,0.9266766614718462,0.6543999508576721,-0.27227671061417413,16.238537648157745,16.575540270134155,0.33700262197640996,5.533454304775,5.536684049104829,0.003229744329829032
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,29,0.9266766614695015,0.6543999489619426,-0.2722767125075588,16.61508610081873,16.95005587089034,0.3349697700716092,5.279242223270691,5.283844366347931,0.004602143077240051
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,30,0.9266766614674787,0.6543999472020755,-0.27227671426540323,16.97468708137947,17.307715492781426,0.3330284114019548,5.036471570162012,5.04238434363922,0.005912773477207978
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,31,0.9266766614657491,0.6543999455596994,-0.27227671590604974,17.3181033517329,17.64927777981174,0.3311744280788389,4.804627396344378,4.81179181192596,0.007164415581581984
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,32,0.9266766614642936,0.6543999440199425,-0.2722767174443511,17.6460633438318,17.97546723138177,0.3294038875499723,4.583217929240919,4.5915776535558175,0.008359724314898287
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,33,0.926676661463084,0.654399942570425,-0.27227671889265903,17.95926270479049,18.28697573904853,0.3277130342580392,4.3717735296865134,4.381274764793849,0.009501235107335582
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,34,0.9266766614620977,0.6543999412006015,-0.2722767202614962,18.2583657724455,18.58446405411982,0.3260982816743194,4.169845695760508,4.1804370650337,0.010591369273191376
