number_id,source_file,source_type,row,column,value,context,label
present_value_site78_pa41.11_det_r4_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,8,3.60,,
present_value_site78_pa41.11_det_r5_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,1,41.11,,
present_value_site78_pa41.11_det_r5_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,2,26.70,,
present_value_site78_pa41.11_det_r5_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,3,20,,
present_value_site78_pa41.11_det_r5_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,4,0.22,,
present_value_site78_pa41.11_det_r5_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,5,3.27,,
present_value_site78_pa41.11_det_r5_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,6,1.10,,
present_value_site78_pa41.11_det_r5_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,7,0.19,,
present_value_site78_pa41.11_det_r5_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,8,4.41,,
present_value_site78_pa41.11_det_r6_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,1,41.11,,
present_value_site78_pa41.11_det_r6_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,2,31.70,,
present_value_site78_pa41.11_det_r6_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,3,25,,
present_value_site78_pa41.11_det_r6_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,4,0.14,,
present_value_site78_pa41.11_det_r6_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,5,4.20,,
present_value_site78_pa41.11_det_r6_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,6,1.12,,
present_value_site78_pa41.11_det_r6_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,7,0.22,,
present_value_site78_pa41.11_det_r6_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,8,5.24,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c1,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,1,b,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c2,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,2,AO_det,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c3,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,3,AO_hmc,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c4,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,4,% Change AO,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c5,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,5,PV_det,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c6,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,6,PV_hmc,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c7,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,7,% Change PV,,
